match_id,team,total_xG,shot_count,avg_shot_xG,goals,rolling_xG,rolling_shots,rolling_conversion,h_a
22007,Aston Villa,2.89,12,0.24083333333333334,2,2.3596,15.2,0.11842105263157894,h
22024,Aston Villa,2.398,15,0.15986666666666668,2,2.4762,14.6,0.136986301369863,a
22025,Aston Villa,0.896,11,0.08145454545454546,2,2.1872,13.8,0.11594202898550725,a
22035,Aston Villa,2.292,22,0.10418181818181817,1,1.9618000000000002,14.6,0.0958904109589041,h
22045,Aston Villa,0.629,10,0.0629,1,1.8210000000000002,14.0,0.11428571428571428,h
22057,Aston Villa,1.466,15,0.09773333333333332,2,1.5362,14.6,0.1095890410958904,a
22065,Aston Villa,1.22,11,0.1109090909090909,1,1.3005999999999998,13.8,0.10144927536231885,h
22082,Aston Villa,1.8359999999999999,10,0.18359999999999999,2,1.4886,13.6,0.10294117647058823,a
22085,Aston Villa,2.932,19,0.1543157894736842,3,1.6165999999999996,13.0,0.13846153846153847,h
22098,Aston Villa,1.341,16,0.0838125,0,1.759,14.2,0.11267605633802817,a
22105,Aston Villa,1.446,13,0.11123076923076923,1,1.7549999999999997,13.8,0.10144927536231885,h
22124,Aston Villa,3.214,14,0.22957142857142857,5,2.1538,14.4,0.1527777777777778,a
22125,Aston Villa,3.064,23,0.13321739130434782,1,2.3994,17.0,0.11764705882352941,h
22138,Aston Villa,1.572,12,0.131,2,2.1274,15.6,0.11538461538461539,a
22147,Aston Villa,3.739,16,0.2336875,4,2.607,15.6,0.16666666666666666,h
22159,Aston Villa,2.085,12,0.17375,3,2.7348,15.4,0.19480519480519481,a
22167,Aston Villa,1.2570000000000001,10,0.1257,0,2.3434,14.6,0.136986301369863,h
22183,Aston Villa,0.911,13,0.07007692307692308,1,1.9128,12.6,0.15873015873015872,a
22186,Aston Villa,1.284,11,0.11672727272727274,2,1.8552,12.4,0.16129032258064516,h
22204,Aston Villa,1.186,8,0.14825,1,1.3446,10.8,0.12962962962962962,a
22205,Aston Villa,1.169,11,0.10627272727272728,3,1.1614,10.6,0.1320754716981132,h
22216,Aston Villa,0.93,11,0.08454545454545455,2,1.096,10.8,0.16666666666666666,a
22225,Aston Villa,2.94,14,0.21,3,1.5018,11.0,0.2,h
22236,Aston Villa,0.613,9,0.06811111111111111,1,1.3676,10.6,0.18867924528301888,h
22247,Aston Villa,0.064,2,0.032,0,1.1431999999999998,9.4,0.19148936170212766,a
22256,Aston Villa,2.719,20,0.13595,3,1.4532,11.2,0.16071428571428573,h
22270,Aston Villa,0.599,8,0.074875,0,1.387,10.6,0.1320754716981132,a
22281,Aston Villa,1.607,15,0.10713333333333333,1,1.1204,10.8,0.09259259259259259,a
22292,Aston Villa,3.242,13,0.24938461538461537,4,1.6461999999999999,11.6,0.13793103448275862,h
22302,Aston Villa,3.086,16,0.192875,3,2.2506,14.4,0.1527777777777778,a
26608,Aston Villa,2.680925339,15,0.17872835593333333,2,2.2429850678,13.4,0.14925373134328357,a
26618,Aston Villa,1.344039698,11,0.12218542709090909,0,2.3919930074,14.0,0.14285714285714285,h
26626,Aston Villa,2.163850971,10,0.2163850971,2,2.5033632016,13.0,0.16923076923076924,a
26638,Aston Villa,3.178061648,17,0.1869448028235294,3,2.4905755312,13.8,0.14492753623188406,h
26647,Aston Villa,2.373512798,9,0.2637236442222222,3,2.3480780908,12.4,0.16129032258064516,h
26659,Aston Villa,1.1449441759999999,7,0.16356345371428568,2,2.0408818581999997,10.8,0.18518518518518517,a
26670,Aston Villa,0.532809171,11,0.048437197363636365,0,1.8786357528,10.8,0.18518518518518517,h
26673,Aston Villa,1.438676427,14,0.10276260192857144,2,1.7336008440000001,11.6,0.1724137931034483,a
26684,Aston Villa,1.9739982660000002,18,0.10966657033333334,1,1.4927881676,11.8,0.13559322033898305,h
26700,Aston Villa,2.522529661,12,0.21021080508333334,1,1.5225915402,12.4,0.0967741935483871,a
26707,Aston Villa,1.663367243,12,0.13861393691666665,0,1.6262761535999999,13.4,0.05970149253731343,a
26716,Aston Villa,3.0476523060000003,17,0.17927366505882356,2,2.1292447805999997,14.6,0.0821917808219178,h
26724,Aston Villa,0.884555642,10,0.0884555642,0,2.0184206236,13.8,0.057971014492753624,a
26734,Aston Villa,3.226380451,20,0.16131902255,3,2.2688970606,14.2,0.08450704225352113,h
26742,Aston Villa,2.521450019,18,0.1400805566111111,1,2.2686811322000002,15.4,0.07792207792207792,h
26761,Aston Villa,0.38942330199999997,8,0.048677912749999996,1,2.013892344,14.6,0.0958904109589041,a
26762,Aston Villa,2.059881758,11,0.187261978,2,1.8163382343999999,13.4,0.1044776119402985,h
26778,Aston Villa,0.22793929699999999,4,0.056984824249999996,0,1.6850149654,12.2,0.11475409836065574,a
26782,Aston Villa,1.879965775,20,0.09399828875,2,1.4157320302,12.2,0.09836065573770492,h
26793,Aston Villa,2.345600638,13,0.1804308183076923,2,1.3805621540000002,11.2,0.125,h
26804,Aston Villa,1.306489757,11,0.1187717960909091,1,1.563975445,11.8,0.11864406779661017,a
26812,Aston Villa,1.206017725,8,0.150752215625,2,1.3932026384000002,11.2,0.125,a
26823,Aston Villa,0.909103613,14,0.06493597235714285,1,1.5294355016,13.2,0.12121212121212122,h
26841,Aston Villa,0.742808939,10,0.0742808939,0,1.3020041344000002,11.2,0.10714285714285714,a
26842,Aston Villa,2.9293219820000003,25,0.11717287928000002,1,1.4187484032,13.6,0.07352941176470588,h
26854,Aston Villa,2.694128584,12,0.22451071533333333,2,1.6962761686,13.8,0.08695652173913043,h
26868,Aston Villa,0.667216863,6,0.11120281050000001,1,1.5885159962,13.4,0.07462686567164178,a
26872,Aston Villa,1.299433975,12,0.10828616458333333,1,1.6665820686,13.0,0.07692307692307693,a
26884,Aston Villa,1.0493584,9,0.11659537777777779,2,1.7278919608000003,12.8,0.109375,h
26893,Aston Villa,1.207145178,8,0.15089314725,3,1.3834566000000001,9.4,0.19148936170212766,a
26902,Aston Villa,2.633489044,17,0.15491112023529413,2,1.371328692,10.4,0.17307692307692307,h
21928,Bournemouth,2.113,12,0.17608333333333334,2,2.113,12.0,0.16666666666666666,a
21942,Bournemouth,1.327,13,0.10207692307692308,0,1.72,12.5,0.08,h
21951,Bournemouth,1.6199999999999999,13,0.1246153846153846,1,1.6866666666666665,12.666666666666666,0.07894736842105263,a
21959,Bournemouth,0.646,8,0.08075,0,1.4264999999999999,11.5,0.06521739130434782,h
21969,Bournemouth,0.982,11,0.08927272727272727,0,1.3376,11.4,0.05263157894736842,a
21975,Bournemouth,1.0190000000000001,7,0.1455714285714286,1,1.1187999999999998,10.4,0.038461538461538464,h
21985,Bournemouth,1.103,13,0.08484615384615385,2,1.0739999999999998,10.4,0.07692307692307693,h
22000,Bournemouth,0.643,5,0.1286,1,0.8786000000000002,8.8,0.09090909090909091,a
22005,Bournemouth,2.814,19,0.14810526315789474,2,1.3122,11.0,0.10909090909090909,h
22023,Bournemouth,3.182,23,0.13834782608695653,3,1.7521999999999998,13.4,0.13432835820895522,a
22025,Bournemouth,2.548,15,0.16986666666666667,2,2.058,15.0,0.13333333333333333,h
22043,Bournemouth,1.883,11,0.17118181818181818,2,2.214,14.6,0.136986301369863,a
22051,Bournemouth,1.975,10,0.1975,3,2.4804,15.6,0.15384615384615385,a
22070,Bournemouth,1.89,18,0.105,3,2.2956000000000003,15.4,0.16883116883116883,a
22075,Bournemouth,2.08,16,0.13,3,2.0752,14.0,0.18571428571428572,h
22092,Bournemouth,1.583,24,0.06595833333333333,1,1.8821999999999999,15.8,0.1518987341772152,a
22102,Bournemouth,0.834,11,0.07581818181818181,0,1.6724,15.8,0.12658227848101267,h
22110,Bournemouth,1.135,9,0.12611111111111112,1,1.5044,15.6,0.10256410256410256,a
22115,Bournemouth,1.19,9,0.1322222222222222,1,1.3644,13.8,0.08695652173913043,h
22127,Bournemouth,2.607,25,0.10428000000000001,1,1.4698,15.6,0.05128205128205128,a
22141,Bournemouth,2.08,12,0.17333333333333334,2,1.5692,13.2,0.07575757575757576,a
22145,Bournemouth,0.9279999999999999,13,0.07138461538461538,0,1.588,13.6,0.07352941176470588,h
22156,Bournemouth,1.438,10,0.14379999999999998,2,1.6486,13.8,0.08695652173913043,a
22165,Bournemouth,3.929,32,0.12278125,2,2.1963999999999997,18.4,0.07608695652173914,h
22184,Bournemouth,2.416,21,0.11504761904761904,1,2.1582,17.6,0.07954545454545454,a
22185,Bournemouth,1.404,11,0.12763636363636363,1,2.0229999999999997,17.4,0.06896551724137931,h
22195,Bournemouth,1.311,11,0.11918181818181818,1,2.0995999999999997,17.0,0.08235294117647059,h
22210,Bournemouth,0.616,8,0.077,1,1.9351999999999996,16.6,0.07228915662650602,a
22215,Bournemouth,2.623,20,0.13115000000000002,2,1.6740000000000002,14.2,0.08450704225352113,h
22225,Bournemouth,2.128,14,0.152,1,1.6164,12.8,0.09375,a
22235,Bournemouth,2.586,15,0.1724,3,1.8527999999999998,13.6,0.11764705882352941,h
22245,Bournemouth,0.46900000000000003,7,0.067,0,1.6844000000000001,12.8,0.109375,a
22255,Bournemouth,1.071,13,0.08238461538461538,1,1.7754,13.8,0.10144927536231885,h
22269,Bournemouth,2.197,22,0.09986363636363636,0,1.6902000000000001,14.2,0.07042253521126761,a
22277,Bournemouth,1.511,14,0.10792857142857142,1,1.5668,14.2,0.07042253521126761,h
22288,Bournemouth,1.5130000000000001,13,0.11638461538461539,1,1.3521999999999998,13.8,0.043478260869565216,a
22296,Bournemouth,0.485,11,0.04409090909090909,0,1.3554,14.6,0.0410958904109589,h
26607,Bournemouth,1.909149723,13,0.146857671,1,1.5230299446,14.6,0.0410958904109589,a
26620,Bournemouth,2.5351330009999997,16,0.15844581256249998,1,1.5906565448,13.4,0.05970149253731343,h
26624,Bournemouth,3.306605256,17,0.19450619152941176,3,1.949777596,14.0,0.08571428571428572,a
26639,Bournemouth,1.537309199,19,0.08091101047368421,0,1.9546394358,15.2,0.06578947368421052,h
26645,Bournemouth,1.4881655919999999,19,0.07832450484210525,0,2.1552725541999997,16.8,0.05952380952380952,a
26661,Bournemouth,1.442154673,14,0.10301104807142858,3,2.0618735442,17.0,0.08235294117647059,h
26663,Bournemouth,1.951605538,17,0.11480032576470588,0,1.9451680516,17.2,0.06976744186046512,a
