match_id,team,total_xG,avg_shot_xG,shot_count,goals,conversion_rate,h_team,a_team,team_name
22142,Away,0.519,0.0519,10,0,0,Nottingham Forest,West Ham,West Ham
22142,Home,2.678,0.140947368,19,2,0.105263158,Nottingham Forest,West Ham,Nottingham Forest
22143,Away,3.615,0.150625,24,4,0.166666667,Sheffield United,Brighton,Brighton
22143,Home,0.587,0.083857143,7,0,0,Sheffield United,Brighton,Sheffield United
22144,Away,1.791,0.14925,12,2,0.166666667,Tottenham,Wolverhampton Wanderers,Wolverhampton Wanderers
22144,Home,1.602,0.1068,15,1,0.066666667,Tottenham,Wolverhampton Wanderers,Tottenham
22145,Away,1.989,0.1326,15,1,0.066666667,Bournemouth,Manchester City,Manchester City
22145,Home,0.928,0.071384615,13,0,0,Bournemouth,Manchester City,Bournemouth
22146,Away,0.218,0.0545,4,1,0.25,Arsenal,Newcastle United,Newcastle United
22146,Home,2.595,0.144166667,18,3,0.166666667,Arsenal,Newcastle United,Arsenal
22147,Away,2.255,0.2255,10,2,0.2,Aston Villa,Nottingham Forest,Nottingham Forest
22147,Home,3.739,0.2336875,16,4,0.25,Aston Villa,Nottingham Forest,Aston Villa
22148,Away,0.287,0.047833333,6,1,0.166666667,Brighton,Everton,Everton
22148,Home,1.662,0.07226087,23,1,0.043478261,Brighton,Everton,Brighton
22149,Away,1.273,0.067,19,0,0,Chelsea,Tottenham,Tottenham
22149,Home,2.453,0.1533125,16,2,0.125,Chelsea,Tottenham,Chelsea
22150,Away,0.076,0.038,2,0,0,Crystal Palace,Burnley,Burnley
22150,Home,2.414,0.160933333,15,3,0.2,Crystal Palace,Burnley,Crystal Palace
22151,Away,0.979,0.081583333,12,1,0.083333333,Liverpool,Luton,Luton
22151,Home,3.703,0.127689655,29,4,0.137931034,Liverpool,Luton,Liverpool
22152,Away,1.143,0.067235294,17,2,0.117647059,Manchester United,Fulham,Fulham
22152,Home,1.981,0.094333333,21,1,0.047619048,Manchester United,Fulham,Manchester United
22153,Away,1.36,0.097142857,14,2,0.142857143,West Ham,Brentford,Brentford
22153,Home,2.097,0.123352941,17,4,0.235294118,West Ham,Brentford,West Ham
22154,Away,0.656,0.054666667,12,0,0,Wolverhampton Wanderers,Sheffield United,Sheffield United
22154,Home,1.215,0.093461538,13,1,0.076923077,Wolverhampton Wanderers,Sheffield United,Wolverhampton Wanderers
22155,Away,2.153,0.126647059,17,2,0.117647059,Brentford,Chelsea,Chelsea
22155,Home,2.54,0.181428571,14,2,0.142857143,Brentford,Chelsea,Brentford
22156,Away,1.438,0.1438,10,2,0.2,Burnley,Bournemouth,Bournemouth
22156,Home,1.618,0.0809,20,0,0,Burnley,Bournemouth,Burnley
22157,Away,2.18,0.181666667,12,3,0.25,Everton,West Ham,West Ham
22157,Home,3.123,0.141954545,22,1,0.045454545,Everton,West Ham,Everton
22158,Away,1.151,0.076733333,15,0,0,Fulham,Brighton,Brighton
22158,Home,1.376,0.114666667,12,3,0.25,Fulham,Brighton,Fulham
22159,Away,2.085,0.17375,12,3,0.25,Luton,Aston Villa,Aston Villa
22159,Home,2.934,0.225692308,13,2,0.153846154,Luton,Aston Villa,Luton
22160,Away,0.154,0.077,2,1,0.5,Manchester City,Manchester United,Manchester United
22160,Home,2.644,0.097925926,27,3,0.111111111,Manchester City,Manchester United,Manchester City
22161,Away,0.509,0.042416667,12,0,0,Newcastle United,Wolverhampton Wanderers,Wolverhampton Wanderers
22161,Home,3.417,0.244071429,14,3,0.214285714,Newcastle United,Wolverhampton Wanderers,Newcastle United
22162,Away,1.331,0.0605,22,1,0.045454545,Nottingham Forest,Liverpool,Liverpool
22162,Home,0.971,0.121375,8,0,0,Nottingham Forest,Liverpool,Nottingham Forest
22163,Away,2.488,0.113090909,22,5,0.227272727,Sheffield United,Arsenal,Arsenal
22163,Home,0.202,0.0404,5,0,0,Sheffield United,Arsenal,Sheffield United
22164,Away,0.282,0.0705,4,1,0.25,Tottenham,Crystal Palace,Crystal Palace
22164,Home,2.706,0.193285714,14,3,0.214285714,Tottenham,Crystal Palace,Tottenham
22165,Away,1.966,0.151230769,13,2,0.153846154,Bournemouth,Sheffield United,Sheffield United
22165,Home,3.929,0.12278125,32,2,0.0625,Bournemouth,Sheffield United,Bournemouth
22166,Away,0.734,0.081555556,9,1,0.111111111,Arsenal,Brentford,Brentford
22166,Home,1.592,0.093647059,17,2,0.117647059,Arsenal,Brentford,Arsenal
22167,Away,2.254,0.250444444,9,4,0.444444444,Aston Villa,Tottenham,Tottenham
22167,Home,1.257,0.1257,10,0,0,Aston Villa,Tottenham,Aston Villa
22168,Away,0.686,0.0686,10,0,0,Brighton,Nottingham Forest,Nottingham Forest
22168,Home,0.539,0.0539,10,0,0,Brighton,Nottingham Forest,Brighton
22169,Away,0.569,0.051727273,11,2,0.181818182,Chelsea,Newcastle United,Newcastle United
22169,Home,1.788,0.149,12,3,0.25,Chelsea,Newcastle United,Chelsea
22170,Away,1.086,0.13575,8,1,0.125,Crystal Palace,Luton,Luton
22170,Home,3.338,0.158952381,21,1,0.047619048,Crystal Palace,Luton,Crystal Palace
22171,Away,1.374,0.1374,10,1,0.1,Liverpool,Manchester City,Manchester City
22171,Home,2.256,0.118736842,19,1,0.052631579,Liverpool,Manchester City,Liverpool
22172,Away,1.823,0.07926087,23,0,0,Manchester United,Everton,Everton
22172,Home,2.902,0.193466667,15,2,0.133333333,Manchester United,Everton,Manchester United
22173,Away,0.882,0.080181818,11,1,0.090909091,West Ham,Burnley,Burnley
22173,Home,1.876,0.081565217,23,2,0.086956522,West Ham,Burnley,West Ham
22174,Away,2.972,0.123833333,24,1,0.041666667,Wolverhampton Wanderers,Fulham,Fulham
22174,Home,1.297,0.162125,8,1,0.125,Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers
